,sim,y,Library
0,0.0,0.0,FDA
1,0.0,0.01,FDA
2,0.0,0.02,FDA
3,0.0,0.03,FDA
4,0.0,0.04,FDA
5,0.0,0.05,FDA
6,0.0,0.06,FDA
7,0.01,0.06,FDA
8,0.01,0.07,FDA
9,0.01,0.08,FDA
10,0.01,0.09,FDA
11,0.01,0.1,FDA
12,0.02,0.1,FDA
13,0.02,0.11,FDA
14,0.02,0.12,FDA
15,0.02,0.13,FDA
16,0.02,0.14,FDA
17,0.02,0.15,FDA
18,0.03,0.15,FDA
19,0.03,0.16,FDA
20,0.03,0.17,FDA
21,0.03,0.18,FDA
22,0.03,0.19,FDA
23,0.04,0.19,FDA
24,0.04,0.2,FDA
25,0.04,0.21,FDA
26,0.04,0.22,FDA
27,0.04,0.23,FDA
28,0.05,0.23,FDA
29,0.05,0.24,FDA
30,0.05,0.25,FDA
31,0.05,0.26,FDA
32,0.05,0.27,FDA
33,0.05,0.28,FDA
34,0.06,0.28,FDA
35,0.06,0.29,FDA
36,0.06,0.3,FDA
37,0.06,0.31,FDA
38,0.06,0.32,FDA
39,0.06,0.33,FDA
40,0.07,0.33,FDA
41,0.07,0.34,FDA
42,0.07,0.35,FDA
43,0.07,0.36,FDA
44,0.07,0.37,FDA
45,0.07,0.38,FDA
46,0.08,0.38,FDA
47,0.08,0.39,FDA
48,0.08,0.4,FDA
49,0.08,0.41,FDA
50,0.08,0.42,FDA
51,0.08,0.43,FDA
52,0.09,0.43,FDA
53,0.09,0.44,FDA
54,0.09,0.45,FDA
55,0.09,0.46,FDA
56,0.09,0.47,FDA
57,0.09,0.48,FDA
58,0.1,0.48,FDA
59,0.1,0.49,FDA
60,0.1,0.5,FDA
61,0.1,0.51,FDA
62,0.1,0.52,FDA
63,0.1,0.53,FDA
64,0.11,0.53,FDA
65,0.11,0.54,FDA
66,0.11,0.55,FDA
67,0.11,0.56,FDA
68,0.11,0.57,FDA
69,0.11,0.58,FDA
70,0.12,0.58,FDA
71,0.12,0.59,FDA
72,0.12,0.6,FDA
73,0.12,0.61,FDA
74,0.12,0.62,FDA
75,0.12,0.63,FDA
76,0.13,0.63,FDA
77,0.13,0.64,FDA
78,0.13,0.65,FDA
79,0.13,0.66,FDA
80,0.13,0.67,FDA
81,0.13,0.68,FDA
82,0.14,0.68,FDA
83,0.14,0.69,FDA
84,0.14,0.7,FDA
85,0.14,0.71,FDA
86,0.14,0.72,FDA
87,0.15,0.72,FDA
88,0.15,0.73,FDA
89,0.15,0.74,FDA
90,0.15,0.75,FDA
91,0.15,0.76,FDA
92,0.16,0.76,FDA
93,0.16,0.77,FDA
94,0.16,0.78,FDA
95,0.16,0.79,FDA
96,0.17,0.79,FDA
97,0.17,0.8,FDA
98,0.17,0.81,FDA
99,0.17,0.82,FDA
100,0.18,0.82,FDA
101,0.18,0.83,FDA
102,0.18,0.84,FDA
103,0.18,0.85,FDA
104,0.19,0.85,FDA
105,0.19,0.86,FDA
106,0.19,0.87,FDA
107,0.19,0.88,FDA
108,0.2,0.88,FDA
109,0.2,0.89,FDA
110,0.2,0.9,FDA
111,0.21,0.9,FDA
112,0.21,0.91,FDA
113,0.22,0.91,FDA
114,0.22,0.92,FDA
115,0.22,0.93,FDA
116,0.23,0.93,FDA
117,0.23,0.94,FDA
118,0.24,0.94,FDA
119,0.24,0.95,FDA
120,0.25,0.95,FDA
121,0.25,0.96,FDA
122,0.26,0.96,FDA
123,0.26,0.97,FDA
124,0.27,0.97,FDA
125,0.28,0.97,FDA
126,0.28,0.98,FDA
127,0.29,0.98,FDA
128,0.3,0.98,FDA
129,0.31,0.98,FDA
130,0.31,0.99,FDA
131,0.32,0.99,FDA
132,0.33,0.99,FDA
133,0.34,0.99,FDA
134,0.35,0.99,FDA
135,0.36,0.99,FDA
136,0.37,0.99,FDA
137,0.38,0.99,FDA
138,0.39,0.99,FDA
139,0.4,0.99,FDA
140,0.4,1.0,FDA
141,0.41,1.0,FDA
142,0.42,1.0,FDA
143,0.43,1.0,FDA
144,0.44,1.0,FDA
145,0.45,1.0,FDA
146,0.46,1.0,FDA
147,0.47,1.0,FDA
148,0.48,1.0,FDA
149,0.49,1.0,FDA
150,0.5,1.0,FDA
