,sim,y,Library
0,0.0,0.0,FDA
1,0.0,0.01,FDA
2,0.0,0.02,FDA
3,0.01,0.02,FDA
4,0.01,0.03,FDA
5,0.02,0.03,FDA
6,0.02,0.04,FDA
7,0.02,0.05,FDA
8,0.02,0.06,FDA
9,0.02,0.07,FDA
10,0.03,0.07,FDA
11,0.03,0.08,FDA
12,0.03,0.09,FDA
13,0.03,0.1,FDA
14,0.03,0.11,FDA
15,0.03,0.12,FDA
16,0.04,0.12,FDA
17,0.04,0.13,FDA
18,0.04,0.14,FDA
19,0.04,0.15,FDA
20,0.04,0.16,FDA
21,0.04,0.17,FDA
22,0.04,0.18,FDA
23,0.04,0.19,FDA
24,0.04,0.2,FDA
25,0.05,0.2,FDA
26,0.05,0.21,FDA
27,0.05,0.22,FDA
28,0.05,0.23,FDA
29,0.05,0.24,FDA
30,0.05,0.25,FDA
31,0.05,0.26,FDA
32,0.05,0.27,FDA
33,0.05,0.28,FDA
34,0.05,0.29,FDA
35,0.05,0.3,FDA
36,0.05,0.31,FDA
37,0.06,0.31,FDA
38,0.06,0.32,FDA
39,0.06,0.33,FDA
40,0.06,0.34,FDA
41,0.06,0.35,FDA
42,0.06,0.36,FDA
43,0.06,0.37,FDA
44,0.06,0.38,FDA
45,0.06,0.39,FDA
46,0.06,0.4,FDA
47,0.06,0.41,FDA
48,0.06,0.42,FDA
49,0.06,0.43,FDA
50,0.06,0.44,FDA
51,0.07,0.44,FDA
52,0.07,0.45,FDA
53,0.07,0.46,FDA
54,0.07,0.47,FDA
55,0.07,0.48,FDA
56,0.07,0.49,FDA
57,0.07,0.5,FDA
58,0.07,0.51,FDA
59,0.07,0.52,FDA
60,0.07,0.53,FDA
61,0.07,0.54,FDA
62,0.07,0.55,FDA
63,0.07,0.56,FDA
64,0.07,0.57,FDA
65,0.08,0.57,FDA
66,0.08,0.58,FDA
67,0.08,0.59,FDA
68,0.08,0.6,FDA
69,0.08,0.61,FDA
70,0.08,0.62,FDA
71,0.08,0.63,FDA
72,0.08,0.64,FDA
73,0.08,0.65,FDA
74,0.08,0.66,FDA
75,0.08,0.67,FDA
76,0.08,0.68,FDA
77,0.09,0.68,FDA
78,0.09,0.69,FDA
79,0.09,0.7,FDA
80,0.09,0.71,FDA
81,0.09,0.72,FDA
82,0.09,0.73,FDA
83,0.09,0.74,FDA
84,0.09,0.75,FDA
85,0.09,0.76,FDA
86,0.09,0.77,FDA
87,0.09,0.78,FDA
88,0.1,0.78,FDA
89,0.1,0.79,FDA
90,0.1,0.8,FDA
91,0.1,0.81,FDA
92,0.1,0.82,FDA
93,0.1,0.83,FDA
94,0.1,0.84,FDA
95,0.1,0.85,FDA
96,0.11,0.85,FDA
97,0.11,0.86,FDA
98,0.11,0.87,FDA
99,0.11,0.88,FDA
100,0.11,0.89,FDA
101,0.11,0.9,FDA
102,0.12,0.9,FDA
103,0.12,0.91,FDA
104,0.12,0.92,FDA
105,0.12,0.93,FDA
106,0.13,0.93,FDA
107,0.13,0.94,FDA
108,0.13,0.95,FDA
109,0.14,0.95,FDA
110,0.14,0.96,FDA
111,0.15,0.96,FDA
112,0.15,0.97,FDA
113,0.16,0.97,FDA
114,0.16,0.98,FDA
115,0.17,0.98,FDA
116,0.18,0.98,FDA
117,0.18,0.99,FDA
118,0.19,0.99,FDA
119,0.2,0.99,FDA
120,0.21,0.99,FDA
121,0.22,0.99,FDA
122,0.23,0.99,FDA
123,0.24,0.99,FDA
124,0.24,1.0,FDA
125,0.25,1.0,FDA
126,0.26,1.0,FDA
127,0.27,1.0,FDA
128,0.28,1.0,FDA
129,0.29,1.0,FDA
130,0.3,1.0,FDA
131,0.31,1.0,FDA
132,0.32,1.0,FDA
133,0.33,1.0,FDA
134,0.34,1.0,FDA
135,0.35,1.0,FDA
136,0.36,1.0,FDA
137,0.37,1.0,FDA
138,0.38,1.0,FDA
139,0.39,1.0,FDA
140,0.4,1.0,FDA
141,0.41,1.0,FDA
142,0.42,1.0,FDA
143,0.43,1.0,FDA
144,0.44,1.0,FDA
145,0.45,1.0,FDA
146,0.46,1.0,FDA
147,0.47,1.0,FDA
148,0.48,1.0,FDA
149,0.49,1.0,FDA
150,0.5,1.0,FDA
