,sim,y,Library
0,0.0,0.0,FDA
1,0.0,0.01,FDA
2,0.01,0.01,FDA
3,0.02,0.01,FDA
4,0.03,0.01,FDA
5,0.04,0.01,FDA
6,0.04,0.02,FDA
7,0.05,0.02,FDA
8,0.06,0.02,FDA
9,0.06,0.03,FDA
10,0.07,0.03,FDA
11,0.07,0.04,FDA
12,0.08,0.04,FDA
13,0.08,0.05,FDA
14,0.09,0.05,FDA
15,0.09,0.06,FDA
16,0.1,0.06,FDA
17,0.1,0.07,FDA
18,0.11,0.07,FDA
19,0.11,0.08,FDA
20,0.12,0.08,FDA
21,0.12,0.09,FDA
22,0.13,0.09,FDA
23,0.13,0.1,FDA
24,0.13,0.11,FDA
25,0.14,0.11,FDA
26,0.14,0.12,FDA
27,0.15,0.12,FDA
28,0.15,0.13,FDA
29,0.15,0.14,FDA
30,0.16,0.14,FDA
31,0.16,0.15,FDA
32,0.16,0.16,FDA
33,0.17,0.16,FDA
34,0.17,0.17,FDA
35,0.17,0.18,FDA
36,0.18,0.18,FDA
37,0.18,0.19,FDA
38,0.18,0.2,FDA
39,0.19,0.2,FDA
40,0.19,0.21,FDA
41,0.19,0.22,FDA
42,0.19,0.23,FDA
43,0.2,0.23,FDA
44,0.2,0.24,FDA
45,0.2,0.25,FDA
46,0.21,0.25,FDA
47,0.21,0.26,FDA
48,0.21,0.27,FDA
49,0.21,0.28,FDA
50,0.22,0.28,FDA
51,0.22,0.29,FDA
52,0.22,0.3,FDA
53,0.23,0.3,FDA
54,0.23,0.31,FDA
55,0.23,0.32,FDA
56,0.23,0.33,FDA
57,0.24,0.33,FDA
58,0.24,0.34,FDA
59,0.24,0.35,FDA
60,0.24,0.36,FDA
61,0.25,0.36,FDA
62,0.25,0.37,FDA
63,0.25,0.38,FDA
64,0.25,0.39,FDA
65,0.26,0.39,FDA
66,0.26,0.4,FDA
67,0.26,0.41,FDA
68,0.26,0.42,FDA
69,0.27,0.42,FDA
70,0.27,0.43,FDA
71,0.27,0.44,FDA
72,0.28,0.44,FDA
73,0.28,0.45,FDA
74,0.28,0.46,FDA
75,0.28,0.47,FDA
76,0.29,0.47,FDA
77,0.29,0.48,FDA
78,0.29,0.49,FDA
79,0.29,0.5,FDA
80,0.3,0.5,FDA
81,0.3,0.51,FDA
82,0.3,0.52,FDA
83,0.3,0.53,FDA
84,0.31,0.53,FDA
85,0.31,0.54,FDA
86,0.31,0.55,FDA
87,0.31,0.56,FDA
88,0.32,0.56,FDA
89,0.32,0.57,FDA
90,0.32,0.58,FDA
91,0.32,0.59,FDA
92,0.33,0.59,FDA
93,0.33,0.6,FDA
94,0.33,0.61,FDA
95,0.33,0.62,FDA
96,0.34,0.62,FDA
97,0.34,0.63,FDA
98,0.34,0.64,FDA
99,0.35,0.64,FDA
100,0.35,0.65,FDA
101,0.35,0.66,FDA
102,0.35,0.67,FDA
103,0.36,0.67,FDA
104,0.36,0.68,FDA
105,0.36,0.69,FDA
106,0.37,0.69,FDA
107,0.37,0.7,FDA
108,0.37,0.71,FDA
109,0.38,0.71,FDA
110,0.38,0.72,FDA
111,0.38,0.73,FDA
112,0.38,0.74,FDA
113,0.39,0.74,FDA
114,0.39,0.75,FDA
115,0.39,0.76,FDA
116,0.4,0.76,FDA
117,0.4,0.77,FDA
118,0.4,0.78,FDA
119,0.41,0.78,FDA
120,0.41,0.79,FDA
121,0.41,0.8,FDA
122,0.42,0.8,FDA
123,0.42,0.81,FDA
124,0.42,0.82,FDA
125,0.43,0.82,FDA
126,0.43,0.83,FDA
127,0.44,0.83,FDA
128,0.44,0.84,FDA
129,0.44,0.85,FDA
130,0.45,0.85,FDA
131,0.45,0.86,FDA
132,0.46,0.86,FDA
133,0.46,0.87,FDA
134,0.46,0.88,FDA
135,0.47,0.88,FDA
136,0.47,0.89,FDA
137,0.48,0.89,FDA
138,0.48,0.9,FDA
139,0.49,0.9,FDA
140,0.49,0.91,FDA
141,0.5,0.91,FDA
142,0.5,0.92,FDA
143,0.51,0.92,FDA
144,0.51,0.93,FDA
145,0.52,0.93,FDA
146,0.52,0.94,FDA
147,0.53,0.94,FDA
148,0.53,0.95,FDA
149,0.54,0.95,FDA
150,0.55,0.95,FDA
