,sim,y,Library
0,0.0,0.0,FDA
1,0.02,0.0,FDA
2,0.03,0.0,FDA
3,0.04,0.0,FDA
4,0.05,0.0,FDA
5,0.06,0.0,FDA
6,0.07,0.0,FDA
7,0.08,0.0,FDA
8,0.08,0.01,FDA
9,0.09,0.01,FDA
10,0.1,0.01,FDA
11,0.11,0.01,FDA
12,0.12,0.01,FDA
13,0.13,0.01,FDA
14,0.14,0.01,FDA
15,0.14,0.02,FDA
16,0.15,0.02,FDA
17,0.16,0.02,FDA
18,0.17,0.02,FDA
19,0.18,0.02,FDA
20,0.18,0.03,FDA
21,0.19,0.03,FDA
22,0.2,0.03,FDA
23,0.2,0.04,FDA
24,0.21,0.04,FDA
25,0.22,0.04,FDA
26,0.22,0.05,FDA
27,0.23,0.05,FDA
28,0.23,0.06,FDA
29,0.24,0.06,FDA
30,0.24,0.07,FDA
31,0.25,0.07,FDA
32,0.25,0.08,FDA
33,0.25,0.09,FDA
34,0.26,0.09,FDA
35,0.26,0.1,FDA
36,0.26,0.11,FDA
37,0.27,0.11,FDA
38,0.27,0.12,FDA
39,0.27,0.13,FDA
40,0.27,0.14,FDA
41,0.28,0.14,FDA
42,0.28,0.15,FDA
43,0.28,0.16,FDA
44,0.28,0.17,FDA
45,0.29,0.17,FDA
46,0.29,0.18,FDA
47,0.29,0.19,FDA
48,0.29,0.2,FDA
49,0.29,0.21,FDA
50,0.3,0.21,FDA
51,0.3,0.22,FDA
52,0.3,0.23,FDA
53,0.3,0.24,FDA
54,0.3,0.25,FDA
55,0.31,0.25,FDA
56,0.31,0.26,FDA
57,0.31,0.27,FDA
58,0.31,0.28,FDA
59,0.31,0.29,FDA
60,0.31,0.3,FDA
61,0.32,0.3,FDA
62,0.32,0.31,FDA
63,0.32,0.32,FDA
64,0.32,0.33,FDA
65,0.32,0.34,FDA
66,0.32,0.35,FDA
67,0.33,0.35,FDA
68,0.33,0.36,FDA
69,0.33,0.37,FDA
70,0.33,0.38,FDA
71,0.33,0.39,FDA
72,0.33,0.4,FDA
73,0.34,0.4,FDA
74,0.34,0.41,FDA
75,0.34,0.42,FDA
76,0.34,0.43,FDA
77,0.34,0.44,FDA
78,0.34,0.45,FDA
79,0.35,0.45,FDA
80,0.35,0.46,FDA
81,0.35,0.47,FDA
82,0.35,0.48,FDA
83,0.35,0.49,FDA
84,0.35,0.5,FDA
85,0.36,0.5,FDA
86,0.36,0.51,FDA
87,0.36,0.52,FDA
88,0.36,0.53,FDA
89,0.36,0.54,FDA
90,0.36,0.55,FDA
91,0.37,0.55,FDA
92,0.37,0.56,FDA
93,0.37,0.57,FDA
94,0.37,0.58,FDA
95,0.37,0.59,FDA
96,0.38,0.59,FDA
97,0.38,0.6,FDA
98,0.38,0.61,FDA
99,0.38,0.62,FDA
100,0.38,0.63,FDA
101,0.39,0.63,FDA
102,0.39,0.64,FDA
103,0.39,0.65,FDA
104,0.39,0.66,FDA
105,0.39,0.67,FDA
106,0.4,0.67,FDA
107,0.4,0.68,FDA
108,0.4,0.69,FDA
109,0.4,0.7,FDA
110,0.4,0.71,FDA
111,0.41,0.71,FDA
112,0.41,0.72,FDA
113,0.41,0.73,FDA
114,0.41,0.74,FDA
115,0.41,0.75,FDA
116,0.42,0.75,FDA
117,0.42,0.76,FDA
118,0.42,0.77,FDA
119,0.42,0.78,FDA
120,0.43,0.78,FDA
121,0.43,0.79,FDA
122,0.43,0.8,FDA
123,0.43,0.81,FDA
124,0.44,0.81,FDA
125,0.44,0.82,FDA
126,0.44,0.83,FDA
127,0.45,0.83,FDA
128,0.45,0.84,FDA
129,0.45,0.85,FDA
130,0.45,0.86,FDA
131,0.46,0.86,FDA
132,0.46,0.87,FDA
133,0.46,0.88,FDA
134,0.46,0.89,FDA
135,0.47,0.89,FDA
136,0.47,0.9,FDA
137,0.47,0.91,FDA
138,0.48,0.91,FDA
139,0.48,0.92,FDA
140,0.48,0.93,FDA
141,0.49,0.93,FDA
142,0.49,0.94,FDA
143,0.49,0.95,FDA
144,0.5,0.95,FDA
145,0.5,0.96,FDA
146,0.51,0.96,FDA
147,0.51,0.97,FDA
148,0.52,0.97,FDA
149,0.52,0.98,FDA
150,0.53,0.98,FDA
151,0.54,0.98,FDA
152,0.54,0.99,FDA
153,0.55,0.99,FDA
154,0.56,0.99,FDA
155,0.57,0.99,FDA
156,0.58,0.99,FDA
157,0.59,0.99,FDA
158,0.6,0.99,FDA
159,0.61,0.99,FDA
160,0.62,0.99,FDA
161,0.63,0.99,FDA
162,0.63,1.0,FDA
163,0.64,1.0,FDA
164,0.65,1.0,FDA
165,0.66,1.0,FDA
166,0.67,1.0,FDA
167,0.68,1.0,FDA
168,0.69,1.0,FDA
169,0.7,1.0,FDA
170,0.71,1.0,FDA
171,0.72,1.0,FDA
172,0.73,1.0,FDA
173,0.74,1.0,FDA
174,0.75,1.0,FDA
175,0.76,1.0,FDA
176,0.77,1.0,FDA
177,0.78,1.0,FDA
178,0.79,1.0,FDA
179,0.8,1.0,FDA
180,0.81,1.0,FDA
181,0.82,1.0,FDA
182,0.83,1.0,FDA
183,0.84,1.0,FDA
184,0.85,1.0,FDA
185,0.86,1.0,FDA
186,0.87,1.0,FDA
187,0.88,1.0,FDA
188,0.89,1.0,FDA
189,0.9,1.0,FDA
190,0.91,1.0,FDA
191,0.92,1.0,FDA
192,0.93,1.0,FDA
193,0.94,1.0,FDA
194,0.95,1.0,FDA
195,0.96,1.0,FDA
196,0.97,1.0,FDA
197,0.98,1.0,FDA
198,0.99,1.0,FDA
199,1.0,1.0,FDA
200,0.27,0.0,FDA PEP
201,0.28,0.0,FDA PEP
202,0.29,0.0,FDA PEP
